case_id,crime_type,description
CASE-assault-023,assault,Physical altercation at Jayanagar involving 1 persons. Weapon used: baseball bat.
CASE-robbery-023,robbery,Armed robbery at Marathahalli. Suspects brandished iron rod and demanded valuables.
CASE-fraud-023,fraud,Identity theft reported. Fraudulent transactions totalling Rs. 65077 detected.
CASE-homicide-023,homicide,Suspicious death at BTM Layout. Forensic analysis indicates foul play.
CASE-theft-024,theft,Burglary at Marathahalli. Perpetrator entered through main door and stole wallet.
CASE-assault-024,assault,Physical altercation at Marathahalli involving 1 persons. Weapon used: iron rod.
CASE-robbery-024,robbery,Street robbery near Yelahanka. Perpetrator fled on foot with stolen bicycle.
CASE-fraud-024,fraud,Identity theft reported. Fraudulent transactions totalling Rs. 87925 detected.
CASE-homicide-024,homicide,Murder case. Body discovered at Rajajinagar with critical injuries.
CASE-theft-025,theft,Complainant reported missing bicycle from MG Road. Investigation ongoing.
CASE-assault-025,assault,Victim was attacked near BTM Layout by 2 suspects. minor injuries reported.
CASE-robbery-025,robbery,Armed robbery at Rajajinagar. Suspects brandished knife and demanded valuables.
CASE-fraud-025,fraud,Online fraud case. Victim transferred Rs. 314837 to fake account purporting to be online store.
CASE-homicide-025,homicide,Homicide investigation at Indiranagar. Victim identified as a 35-year-old male.
CASE-theft-026,theft,Complainant reported missing cash from MG Road. Investigation ongoing.
CASE-assault-026,assault,Victim was attacked near BTM Layout by 1 suspects. severe injuries reported.
CASE-robbery-026,robbery,Street robbery near Jayanagar. Perpetrator fled on foot with stolen jewelry.
CASE-fraud-026,fraud,Credit card skimming at Jayanagar. 1 suspects involved in operation.
CASE-homicide-026,homicide,Murder case. Body discovered at Electronic City with severe injuries.
CASE-theft-027,theft,Burglary at Koramangala. Perpetrator entered through main door and stole jewelry.
CASE-assault-027,assault,Physical altercation at Jayanagar involving 1 persons. Weapon used: knife.
CASE-robbery-027,robbery,Chain snatching incident at Koramangala. Suspect approached on motorcycle.
CASE-fraud-027,fraud,Credit card skimming at MG Road. 1 suspects involved in operation.
CASE-homicide-027,homicide,Murder case. Body discovered at Jayanagar with minor injuries.
CASE-theft-028,theft,Complainant reported missing cash from Yelahanka. Investigation ongoing.
CASE-assault-028,assault,Physical altercation at Marathahalli involving 3 persons. Weapon used: iron rod.
CASE-robbery-028,robbery,Chain snatching incident at Indiranagar. Suspect approached on motorcycle.
CASE-fraud-028,fraud,Identity theft reported. Fraudulent transactions totalling Rs. 489618 detected.
CASE-homicide-028,homicide,Murder case. Body discovered at Marathahalli with minor injuries.
CASE-theft-029,theft,Complainant reported missing bicycle from Indiranagar. Investigation ongoing.
CASE-assault-029,assault,Assault and battery case. Victim treated for minor injuries at local hospital.
CASE-robbery-029,robbery,Armed robbery at Rajajinagar. Suspects brandished broken bottle and demanded valuables.
CASE-fraud-029,fraud,Online fraud case. Victim transferred Rs. 434816 to fake account purporting to be online store.
CASE-homicide-029,homicide,Suspicious death at Yelahanka. Forensic analysis inconclusive.
CASE-theft-030,theft,Burglary at Electronic City. Perpetrator entered through back door and stole bicycle.
CASE-assault-030,assault,Victim was attacked near BTM Layout by 2 suspects. minor injuries reported.
CASE-robbery-030,robbery,Armed robbery at Rajajinagar. Suspects brandished knife and demanded valuables.
CASE-fraud-030,fraud,Online fraud case. Victim transferred Rs. 160903 to fake account purporting to be insurance company.
CASE-homicide-030,homicide,Homicide investigation at Yelahanka. Victim identified as a 45-year-old male.
CASE-theft-031,theft,Suspect stole wallet from Yelahanka at daytime. CCTV footage shows severe.
CASE-assault-031,assault,Assault and battery case. Victim treated for minor injuries at local hospital.
CASE-robbery-031,robbery,Armed robbery at MG Road. Suspects brandished iron rod and demanded valuables.
CASE-fraud-031,fraud,Online fraud case. Victim transferred Rs. 477840 to fake account purporting to be bank.
CASE-homicide-031,homicide,Homicide investigation at Jayanagar. Victim identified as a 45-year-old male.
CASE-theft-032,theft,Complainant reported missing wallet from Yelahanka. Investigation ongoing.
CASE-assault-032,assault,Physical altercation at Whitefield involving 1 persons. Weapon used: gun.
CASE-robbery-032,robbery,Armed robbery at Yelahanka. Suspects brandished broken bottle and demanded valuables.
CASE-fraud-032,fraud,Identity theft reported. Fraudulent transactions totalling Rs. 230947 detected.
CASE-homicide-032,homicide,Homicide investigation at BTM Layout. Victim identified as a 28-year-old female.
CASE-theft-033,theft,Complainant reported missing laptop from BTM Layout. Investigation ongoing.
CASE-assault-033,assault,Assault and battery case. Victim treated for moderate injuries at local hospital.
CASE-robbery-033,robbery,Chain snatching incident at Rajajinagar. Suspect approached on motorcycle.
CASE-fraud-033,fraud,Online fraud case. Victim transferred Rs. 445191 to fake account purporting to be government agency.
CASE-homicide-033,homicide,Suspicious death at Koramangala. Forensic analysis matching suspect DNA found.
CASE-theft-034,theft,Suspect stole wallet from Jayanagar at evening. CCTV footage shows minor.
CASE-assault-034,assault,Physical altercation at Electronic City involving 1 persons. Weapon used: broken bottle.
CASE-robbery-034,robbery,Street robbery near Whitefield. Perpetrator fled on foot with stolen bicycle.
CASE-fraud-034,fraud,Online fraud case. Victim transferred Rs. 253859 to fake account purporting to be insurance company.
CASE-homicide-034,homicide,Homicide investigation at Jayanagar. Victim identified as a 35-year-old male.
CASE-theft-035,theft,Complainant reported missing documents from Indiranagar. Investigation ongoing.
CASE-assault-035,assault,Victim was attacked near Electronic City by 1 suspects. critical injuries reported.
CASE-robbery-035,robbery,Street robbery near Whitefield. Perpetrator fled on foot with stolen laptop.
CASE-fraud-035,fraud,Online fraud case. Victim transferred Rs. 213133 to fake account purporting to be insurance company.
CASE-homicide-035,homicide,Suspicious death at Indiranagar. Forensic analysis matching suspect DNA found.
CASE-theft-036,theft,Burglary at BTM Layout. Perpetrator entered through main door and stole laptop.
CASE-assault-036,assault,Physical altercation at Marathahalli involving 2 persons. Weapon used: gun.
CASE-robbery-036,robbery,Street robbery near Indiranagar. Perpetrator fled on foot with stolen documents.
CASE-fraud-036,fraud,Identity theft reported. Fraudulent transactions totalling Rs. 221971 detected.
CASE-homicide-036,homicide,Murder case. Body discovered at BTM Layout with moderate injuries.
CASE-theft-037,theft,Suspect stole bicycle from BTM Layout at evening. CCTV footage shows minor.
CASE-assault-037,assault,Victim was attacked near Electronic City by 2 suspects. moderate injuries reported.
CASE-robbery-037,robbery,Armed robbery at Whitefield. Suspects brandished gun and demanded valuables.
CASE-fraud-037,fraud,Credit card skimming at Koramangala. 3 suspects involved in operation.
CASE-homicide-037,homicide,Murder case. Body discovered at Rajajinagar with moderate injuries.
CASE-theft-038,theft,Suspect stole documents from Jayanagar at daytime. CCTV footage shows minor.
CASE-assault-038,assault,Victim was attacked near Whitefield by 1 suspects. severe injuries reported.
CASE-robbery-038,robbery,Armed robbery at Jayanagar. Suspects brandished iron rod and demanded valuables.
CASE-fraud-038,fraud,Identity theft reported. Fraudulent transactions totalling Rs. 498415 detected.
CASE-homicide-038,homicide,Suspicious death at Whitefield. Forensic analysis indicates foul play.
CASE-theft-039,theft,Burglary at BTM Layout. Perpetrator entered through back door and stole jewelry.
CASE-assault-039,assault,Victim was attacked near MG Road by 1 suspects. severe injuries reported.
CASE-robbery-039,robbery,Street robbery near Rajajinagar. Perpetrator fled on foot with stolen jewelry.
CASE-fraud-039,fraud,Credit card skimming at Electronic City. 3 suspects involved in operation.
CASE-homicide-039,homicide,Suspicious death at Rajajinagar. Forensic analysis indicates foul play.
CASE-theft-040,theft,Burglary at BTM Layout. Perpetrator entered through main door and stole bicycle.
CASE-assault-040,assault,Physical altercation at MG Road involving 1 persons. Weapon used: iron rod.
CASE-robbery-040,robbery,Armed robbery at Koramangala. Suspects brandished broken bottle and demanded valuables.
CASE-fraud-040,fraud,Identity theft reported. Fraudulent transactions totalling Rs. 159280 detected.
CASE-homicide-040,homicide,Homicide investigation at Whitefield. Victim identified as a 28-year-old female.
CASE-theft-041,theft,Suspect stole wallet from Marathahalli at daytime. CCTV footage shows critical.
CASE-assault-041,assault,Assault and battery case. Victim treated for minor injuries at local hospital.
CASE-robbery-041,robbery,Street robbery near Koramangala. Perpetrator fled on foot with stolen motorcycle.
CASE-fraud-041,fraud,Identity theft reported. Fraudulent transactions totalling Rs. 421814 detected.
CASE-homicide-041,homicide,Murder case. Body discovered at BTM Layout with moderate injuries.
CASE-theft-042,theft,Burglary at Jayanagar. Perpetrator entered through main door and stole jewelry.
CASE-assault-042,assault,Physical altercation at Whitefield involving 2 persons. Weapon used: broken bottle.
CASE-robbery-042,robbery,Street robbery near Indiranagar. Perpetrator fled on foot with stolen mobile phone.
CASE-fraud-042,fraud,Online fraud case. Victim transferred Rs. 120735 to fake account purporting to be online store.
CASE-homicide-042,homicide,Suspicious death at MG Road. Forensic analysis inconclusive.
CASE-theft-043,theft,Suspect stole jewelry from BTM Layout at daytime. CCTV footage shows severe.
CASE-assault-043,assault,Physical altercation at Electronic City involving 2 persons. Weapon used: broken bottle.
CASE-robbery-043,robbery,Street robbery near Yelahanka. Perpetrator fled on foot with stolen mobile phone.
CASE-fraud-043,fraud,Identity theft reported. Fraudulent transactions totalling Rs. 17014 detected.
CASE-homicide-043,homicide,Suspicious death at Yelahanka. Forensic analysis matching suspect DNA found.
CASE-theft-044,theft,Suspect stole wallet from Indiranagar at night. CCTV footage shows severe.
CASE-assault-044,assault,Assault and battery case. Victim treated for severe injuries at local hospital.
CASE-robbery-044,robbery,Armed robbery at Electronic City. Suspects brandished baseball bat and demanded valuables.
CASE-fraud-044,fraud,Credit card skimming at Jayanagar. 2 suspects involved in operation.
CASE-homicide-044,homicide,Suspicious death at Indiranagar. Forensic analysis inconclusive.
CASE-theft-045,theft,Complainant reported missing cash from Whitefield. Investigation ongoing.
CASE-assault-045,assault,Physical altercation at Yelahanka involving 1 persons. Weapon used: baseball bat.
CASE-robbery-045,robbery,Armed robbery at Marathahalli. Suspects brandished baseball bat and demanded valuables.
CASE-fraud-045,fraud,Identity theft reported. Fraudulent transactions totalling Rs. 378844 detected.
CASE-homicide-045,homicide,Homicide investigation at Whitefield. Victim identified as a 35-year-old male.
CASE-theft-046,theft,Suspect stole jewelry from Koramangala at night. CCTV footage shows critical.
CASE-assault-046,assault,Assault and battery case. Victim treated for moderate injuries at local hospital.
CASE-robbery-046,robbery,Chain snatching incident at Electronic City. Suspect approached on motorcycle.
CASE-fraud-046,fraud,Credit card skimming at Indiranagar. 2 suspects involved in operation.
CASE-homicide-046,homicide,Suspicious death at Yelahanka. Forensic analysis inconclusive.
CASE-theft-047,theft,Suspect stole wallet from Whitefield at evening. CCTV footage shows minor.
CASE-assault-047,assault,Victim was attacked near Whitefield by 1 suspects. moderate injuries reported.
CASE-robbery-047,robbery,Armed robbery at Indiranagar. Suspects brandished broken bottle and demanded valuables.
CASE-fraud-047,fraud,Identity theft reported. Fraudulent transactions totalling Rs. 45936 detected.
CASE-homicide-047,homicide,Suspicious death at Koramangala. Forensic analysis indicates foul play.
CASE-theft-048,theft,Burglary at Whitefield. Perpetrator entered through main door and stole cash.
CASE-assault-048,assault,Victim was attacked near Koramangala by 2 suspects. moderate injuries reported.
CASE-robbery-048,robbery,Chain snatching incident at Indiranagar. Suspect approached on motorcycle.
CASE-fraud-048,fraud,Online fraud case. Victim transferred Rs. 17052 to fake account purporting to be government agency.
CASE-homicide-048,homicide,Homicide investigation at Koramangala. Victim identified as a 35-year-old male.
CASE-theft-049,theft,Complainant reported missing mobile phone from Whitefield. Investigation ongoing.
CASE-assault-049,assault,Physical altercation at Jayanagar involving 1 persons. Weapon used: knife.
CASE-robbery-049,robbery,Street robbery near MG Road. Perpetrator fled on foot with stolen mobile phone.
CASE-fraud-049,fraud,Online fraud case. Victim transferred Rs. 31111 to fake account purporting to be online store.
CASE-homicide-049,homicide,Homicide investigation at Electronic City. Victim identified as a 45-year-old male.
